Crop_Type,Soil_Type,N,P,K,Moisture,Temperature,Land_Area,Yield
Corn,Silty,24,56,43,9.856825045216992,28.913754259824707,10.334752108254026,6306
Corn,Sandy,54,35,19,12.928449237232169,12.810719724770625,8.63476509779616,7929
Corn,Peaty,40,25,17,17.57738539678001,20.22329638929628,9.25705859242014,5185
Corn,Loamy,95,15,37,23.177290936890717,18.02047187748524,13.362350975485253,4833
Corn,Silty,75,31,26,7.05956822332682,26.71542237069515,1.791456986071676,7417
Corn,Sandy,49,15,12,12.120661133286584,31.61289790654455,16.301574395661145,6945
Corn,Clay,43,27,46,9.069587657855136,31.378243695462483,1.9883341218028767,7834
Corn,Sandy,52,55,18,21.392456981451662,35.0282166157738,19.554057574460018,2655
Corn,Sandy,88,16,39,23.2205060615526,15.463038701155291,5.656784067027099,2063
Corn,Silty,76,17,10,8.871586356292426,18.618880305910142,7.657789666378979,5983
Corn,Clay,24,13,11,7.95201645341902,21.58848734605312,18.136104763703205,2678
Corn,Sandy,50,43,12,7.210889180397546,18.40460161169172,11.812922584054837,767
Corn,Silty,95,24,31,5.619653318249753,27.38069611104468,10.0025522226015,533
Corn,Silty,93,40,5,9.99348987570898,31.755275280912308,18.54302436729264,9694
Corn,Peaty,96,28,15,13.665082930421711,17.547285019834053,1.910967309975521,7856
Corn,Loamy,78,32,24,21.642595743236093,25.221580421091005,17.520103018349726,6434
Corn,Silty,85,49,7,24.917275156634872,14.325730656286703,7.121257107033763,7424
Corn,Saline,39,70,57,13.024402222371467,23.748710353253237,4.694329301040782,2514
Corn,Sandy,90,47,18,24.676965037366173,15.4528063432304,12.04795443505526,6627
Corn,Loamy,36,18,46,6.32881569246109,28.686754432713027,4.567596285137969,8963
Corn,Silty,61,24,5,13.109623219116736,20.420547008084128,9.88568673758491,5785
Corn,Saline,45,44,18,12.196197273406623,21.63491042406697,16.72861269301147,5212
Corn,Sandy,81,49,16,10.311717764847367,38.88677976228364,3.552089011284453,550
Corn,Peaty,87,63,41,20.78263684294185,22.80814428862591,14.174025584679072,2624
Corn,Clay,96,43,33,14.659940864441769,24.48908953404611,1.1393913248008989,1413
Corn,Loamy,74,42,49,16.740909445853998,16.41928096166918,4.407549230345639,2576
Corn,Peaty,72,41,49,24.65071505127192,12.423003926269232,11.208571560947384,4703
Corn,Clay,39,39,18,6.249230300827106,36.69322145861301,5.806038886229188,8529
Corn,Clay,30,38,25,15.676027791785687,23.38568410941433,1.1597692669877684,938
Corn,Loamy,56,57,50,21.57183878752717,16.921798427558564,12.995468697266771,6115
Corn,Peaty,81,63,20,8.635964326889846,38.43760317701268,11.137709416949614,3764
Corn,Sandy,57,38,32,21.515100330578004,20.975218913794222,15.539823333029634,3768
Corn,Clay,52,19,53,8.261502455998183,26.0644579537248,11.804176131133865,4340
Corn,Saline,48,16,20,9.27766994723772,16.19817452356648,8.424600194546628,3267
Corn,Silty,38,62,25,16.01131600592162,16.46362083738586,11.12019960029338,7613
Corn,Peaty,60,56,55,13.683890761226458,38.589473514413456,10.114874355174322,2573
Corn,Silty,62,62,32,8.25802975813822,24.97550880226456,4.407226339671174,4673
Corn,Clay,69,41,48,13.7398446810857,15.109941043936566,3.0337916495331942,6962
Corn,Silty,41,19,52,7.342437138766638,27.483297964570223,11.258194688249914,3954
Corn,Loamy,46,22,16,5.49419180490151,22.45571795750658,19.066773571227262,9707
Corn,Sandy,98,65,37,16.071048996961665,27.274543381636512,15.87670069121568,3878
Corn,Sandy,31,23,34,5.098826297232368,26.262072703679326,15.468045757731526,7763
Corn,Peaty,67,29,18,19.046375212718196,32.8120934582918,7.009566908316365,2745
Corn,Silty,93,21,20,10.861637982030905,39.85453404002038,4.5452434098080285,753
Corn,Loamy,60,62,59,15.85690341902663,38.97121179297165,13.322742691927294,7771
Corn,Silty,20,49,21,24.104618596342856,28.598376287578866,11.846429276518217,5093
Corn,Peaty,59,20,26,10.249735264228653,22.606447795539516,13.25793242588861,5116
Corn,Saline,34,51,42,23.846085740151032,30.423700815424944,9.540834886208248,1099
Corn,Sandy,83,65,28,10.825484149286762,29.155375387144154,17.46881855349484,5646
Corn,Peaty,40,26,50,6.558070294422238,26.51947325241921,17.59448256156193,3841
Corn,Loamy,92,39,18,7.816167923381679,13.671296591873231,4.841220933858166,7525
Corn,Silty,34,39,10,15.529580420439045,25.631124931434023,12.21519527575846,1902
Corn,Clay,85,39,11,11.042165066474569,15.03190485201227,3.033081326247786,8569
Corn,Peaty,49,52,24,13.677804361470065,19.65829075589339,16.55539247354521,5505
Corn,Saline,75,38,21,11.06400263455068,21.36502022864643,6.554172364373355,5980
Corn,Clay,84,47,39,17.702966989926587,23.450356836191165,11.421175458391268,7733
Corn,Saline,81,67,25,8.190612606055321,21.68851897904365,13.95771114576461,8758
Corn,Silty,88,50,18,11.57518895497379,33.01504172677538,11.90935236024072,7464
Corn,Sandy,49,44,13,21.33936739519901,17.58917965440891,18.055126777645626,5213
Corn,Sandy,61,17,33,23.31065193550166,33.163332155860765,7.015628739792825,7752
Corn,Loamy,29,65,23,21.16759335772584,19.04296738918413,7.047279860976424,2139
Corn,Saline,65,62,48,11.879402026331585,30.809026627139247,9.060486492869911,2398
Corn,Silty,31,42,55,12.368955851108757,24.02101953438043,17.61343849256983,9124
Corn,Sandy,81,32,47,14.820935534237094,22.63510552931635,19.47522737232757,2410
Corn,Saline,42,67,13,18.132341774105186,36.41524424441926,12.2878108435072,7507
Corn,Loamy,43,12,57,5.706779712567098,21.323664385171323,7.652953413757135,9928
Corn,Silty,60,65,48,5.555532175339595,15.695514521783998,6.469602785196916,3543
Corn,Clay,84,60,14,15.047124695633409,13.39917301026584,1.701068694560267,660
Corn,Sandy,44,54,26,17.585712183806123,22.26019866567272,7.727494736469475,853
Corn,Saline,69,45,36,15.847640344397336,36.19131344302858,15.77334187602044,5487
Corn,Sandy,30,33,5,18.304787115093568,39.14234237548408,6.613018322425709,1044
Corn,Silty,40,24,21,15.76618964448462,24.19070127939535,16.644419539139736,990
Corn,Loamy,48,54,22,5.25769554107649,37.27185658217162,11.105599346524158,6453
Corn,Silty,54,20,51,23.84570092470772,26.336251838705845,19.20086555881744,7063
Corn,Saline,64,59,40,10.62935906659541,15.153831224490515,17.657309887297576,2972
Corn,Saline,85,54,59,16.758704996645015,23.474089803621453,16.042084261484085,1450
Corn,Sandy,43,37,37,20.24934009437507,20.455883237618504,2.656757901926009,1991
Corn,Loamy,85,16,28,12.145770954824426,30.13127805860417,7.582591774340015,1374
Corn,Sandy,41,38,48,11.160809722814806,16.989646507796273,10.919528358950002,5068
Corn,Peaty,75,41,25,19.59615301694908,25.47898009021328,12.62891931224434,5420
Corn,Silty,65,36,37,13.238323120072195,16.423091538999614,15.045482027417572,7606
Corn,Silty,37,35,7,16.243901162895614,39.86205521494944,3.4865526535539995,3883
Corn,Silty,87,69,5,13.75246950920565,33.50969365162915,12.93862031179747,9124
Corn,Sandy,21,62,47,10.496834227286683,23.485692184548803,9.700200022115071,872
Corn,Peaty,82,44,40,14.210765939038067,23.499274614720264,13.24078520079683,5892
Corn,Loamy,48,24,57,19.24154398775184,24.583207525180967,5.255674805653984,4049
Corn,Sandy,33,10,59,5.249354916594409,37.63746920982405,13.21548878105577,8445
Corn,Saline,73,27,60,18.626355500787945,35.14623275206847,1.171815623616902,8238
Corn,Peaty,42,56,42,21.625617661287077,26.432440038235995,11.330091033669634,9074
Corn,Clay,23,11,59,24.682607448250277,29.394456188731468,4.328383108939363,6791
Corn,Clay,100,54,50,18.385605062733745,27.71222635846026,6.731214584888299,3095
Corn,Loamy,26,17,37,10.673788820242898,22.44740074280592,13.806707518102732,2808
Corn,Saline,71,61,30,12.45012086349213,24.030081954995616,14.627605187142471,5028
Corn,Peaty,38,38,47,16.2058589324575,24.958744309833733,12.136150982189204,3811
Corn,Loamy,49,43,60,17.52360906394093,20.8261961348282,0.6290102803081669,7513
Corn,Loamy,23,30,37,15.466193349162625,33.86944449002871,1.6808863957737028,5243
Corn,Sandy,95,39,23,23.54034033448393,20.613739757801252,3.4926995851195244,5201
Corn,Loamy,84,23,45,10.784254309152791,39.37960904533115,0.5878855587218034,3893
Corn,Peaty,58,27,15,6.458733448198619,34.41488392670203,17.332586145035286,9191
Corn,Loamy,28,34,21,6.079864280866989,36.189688398381264,8.290293726906093,6900
Corn,Saline,60,40,38,10.070748262008683,16.12559537804814,1.9574590530962184,4241
Corn,Clay,27,57,59,16.855327523704773,16.84318624783101,16.724251845278616,3500
Corn,Clay,62,64,40,23.09897936335788,36.41595316147042,15.830956884711023,5357
Corn,Peaty,76,16,9,22.26912185196578,38.12663317164303,10.819825552142229,1859
Corn,Clay,71,13,38,14.798364985562433,10.173531898914554,6.155252302947452,3874
Corn,Peaty,57,57,8,5.771784564327835,32.987905862028946,14.299819886930212,7057
Corn,Loamy,69,38,57,14.695912258665746,28.96156513141761,8.382081040743003,2496
Corn,Clay,29,45,21,15.134901066799806,23.67750744391199,3.683888630414817,5474
Corn,Clay,85,30,5,15.03622268721088,36.79030712693763,4.725062747461174,5299
Corn,Sandy,88,34,48,15.517719724795231,28.015200797087303,3.8900191798396495,3808
Corn,Saline,92,15,26,20.677721125548583,39.20663027978446,6.400091995584254,7889
Corn,Clay,77,13,19,22.52175482482668,32.38071556761385,10.783568048571269,6617
Corn,Loamy,41,52,58,19.122074130805643,23.04488338568473,19.432081615480136,4936
Corn,Clay,40,43,18,6.137176531028599,37.2819352609109,15.986603989312496,7211
Corn,Peaty,69,36,9,10.418174391500328,37.89451085162656,4.183091640519351,7899
Corn,Silty,34,69,51,9.342382509414197,13.774110149554534,5.017713725403912,3450
Corn,Peaty,87,69,25,8.829672794309644,35.17795186598603,9.769355489235307,3661
Corn,Peaty,51,28,33,18.66894252335828,14.292530139669015,14.651754009836482,3123
Corn,Saline,79,47,25,15.521657940088025,20.0106912309166,16.85910488116156,4275
Corn,Silty,94,30,59,9.481101247378623,34.91541065224843,9.19525154199948,8530
Corn,Loamy,89,13,19,16.848437992496592,38.85411510283326,10.60699976952304,3402
Corn,Silty,79,31,33,5.70236646421777,24.57889830506684,15.8246457516416,3860
Corn,Saline,72,54,23,10.894746599186952,27.55590417171325,19.18554908235507,8274
Corn,Sandy,34,30,19,12.616186939077773,19.8003053903875,11.703184431613218,1585
Corn,Silty,29,14,51,6.703969347597816,27.13975720560739,15.712492979071476,7875
Corn,Clay,20,12,55,6.7471046827421,31.28050031385273,6.463226367229536,5144
Corn,Sandy,87,51,12,11.9185073749231,22.8373780654022,11.406139120050904,1367
Corn,Silty,65,50,56,5.2615927433100085,39.44107328318595,4.142431812021755,1389
Corn,Peaty,77,34,37,8.17931260505383,39.02552370681846,2.306697679652696,3289
Corn,Silty,95,27,42,11.68749209892054,14.130155607665362,19.905761051860605,6550
Corn,Clay,23,30,59,24.39181208019277,10.955333873111332,16.29315760456732,7920
Corn,Peaty,100,13,22,18.99698908160879,19.26253016336065,14.695900872060117,4084
Corn,Clay,95,46,34,14.825410444275056,37.14186752698917,1.0376410280819606,5044
Corn,Saline,31,11,21,24.52186384850816,31.993009169964832,1.082019652450315,9190
Corn,Saline,64,37,22,12.921357351593745,39.97270327923988,19.869532091609653,9605
Corn,Peaty,33,52,19,7.263474060660775,11.87878854109585,8.505803477850812,6347
Corn,Sandy,95,70,26,8.277682742623726,16.72501079606383,1.0371572307045982,5276
Corn,Peaty,74,59,26,6.94687273279629,36.66980149632962,4.973232297161687,1377
Corn,Saline,33,57,41,19.388830854919103,28.085799562215264,15.866667881486118,891
Corn,Silty,64,17,20,18.33342093778697,15.736891704785345,18.08289599961588,8407
Corn,Sandy,48,12,31,19.75082362677647,24.72754086460915,0.9141641472670416,1107
Corn,Silty,48,55,50,20.18306331200048,29.555292614127307,11.600153147908149,7560
Corn,Sandy,42,18,17,17.27132215884702,36.6728988202726,10.029784217465538,2772
Corn,Silty,81,62,40,7.331711253524322,30.16601418317959,6.679006092195767,2816
Corn,Silty,60,44,48,14.975031192088096,20.67866618641063,9.367215695782903,8579
Corn,Silty,95,27,59,24.466607992138304,31.20032882756701,5.833586436934056,6962
Corn,Silty,93,45,42,17.371125422520578,12.805215411164289,5.046091234450844,9264
Corn,Silty,51,18,15,17.66149819587975,29.028058680411213,2.2433068309656408,7257
Corn,Silty,33,34,33,20.522504451099856,28.33911022560182,18.58454895295294,1796
Corn,Sandy,56,29,17,11.92413296934575,15.249768290115252,1.5724227907964377,4045
Corn,Silty,87,43,27,19.65191677319157,32.71189806648238,2.1021644132883868,4041
Corn,Saline,31,50,24,9.452743134947422,16.16145618094425,5.307886561159125,2179
Corn,Saline,77,58,15,22.534321799353904,20.40358149280788,9.391667035196274,2922
Corn,Clay,34,54,19,21.779545120516467,31.48982130737768,14.422021309796127,9139
Corn,Saline,40,49,42,17.65749915782409,12.581743749420006,14.666570589029664,8668
Corn,Saline,49,50,42,21.34406917575712,37.016074277357696,17.396553678366978,2036
Corn,Loamy,73,20,60,11.889541339279138,18.27367796777729,12.277302529282364,5046
Corn,Silty,99,52,33,19.48740587391565,19.39097241723433,16.228332942761767,5906
Corn,Silty,89,20,21,10.193551100990668,17.834683378883433,8.69215359776855,5326
Corn,Saline,29,64,15,18.323218173587943,33.623135447185746,14.477593581966822,3885
Corn,Loamy,95,55,10,20.245416998066727,17.503793114447475,2.1637618395655847,520
Corn,Loamy,41,30,6,20.143611907033087,15.515069013598165,5.392702016781403,4633
Corn,Silty,95,51,38,18.20861286575874,30.45372121234864,0.6071447842335211,1723
Corn,Peaty,99,43,25,11.60412409224278,30.424708559347053,2.9439223560259764,8979
Corn,Silty,38,68,26,22.94159269609128,17.475139371625428,2.56413261161854,8974
Corn,Peaty,97,28,50,14.500375845325252,38.39769052416575,13.658222951475144,4760
Corn,Saline,100,21,37,6.950733877703152,24.619005499674884,14.352011472689288,1724
Corn,Clay,65,62,30,9.70982995340616,24.89420536735151,6.360438172879851,3210
Corn,Sandy,32,42,55,6.98412203160551,20.790941864660773,8.13260758305806,7469
Corn,Clay,95,16,34,5.912492318082778,19.36393738835359,12.922800854859137,5960
Corn,Saline,81,11,41,7.295881601950514,29.514211534382813,5.389390129274039,6527
Corn,Peaty,40,67,30,19.5944680430761,11.88712751094064,3.637888222641914,9869
Corn,Loamy,39,45,43,6.175820880110479,31.835224569558758,19.782124949832813,846
Corn,Loamy,29,54,44,8.145569136255109,32.40946618425566,2.238245093586554,5912
Corn,Sandy,31,32,25,24.143178317553907,14.958756803866851,7.8949770606068705,8789
Corn,Clay,49,16,33,18.293176342743187,26.249345779457474,10.315871093506406,8438
Corn,Saline,58,53,26,11.947984675163449,28.07477622036674,13.030766756415538,9526
Corn,Saline,86,42,46,14.49827414111182,22.015385148907605,10.180851446900904,4207
Corn,Loamy,55,48,14,7.821164145461927,37.97464890205136,16.054541580372604,6173
Corn,Silty,78,13,39,9.02742313860335,25.54720529491082,18.1850856965066,1734
Corn,Loamy,96,18,49,18.598251326697472,18.08342399771594,3.6222686934977175,656
Corn,Clay,83,39,13,11.71676618348422,21.20464693231177,4.231939735984556,5790
Corn,Clay,66,64,22,16.671072367331853,19.72935924792849,7.168889347621597,6535
Corn,Loamy,33,28,48,20.240444851832848,24.85959376583832,2.002292777648573,5080
Corn,Saline,99,38,29,16.97137435499809,31.5268255965106,9.656162451828738,5334
Corn,Saline,20,50,14,7.7015429512582045,22.84719934484552,17.86650233028842,9272
Corn,Silty,41,65,54,21.187454966094297,35.466833277172064,8.500491996573484,9745
Corn,Clay,89,35,16,8.478633991683262,16.91679158423905,14.574312435637031,3164
Corn,Silty,48,33,14,23.79400710105688,28.301880765310607,7.815630171508356,2927
Corn,Loamy,77,45,18,18.825706936319325,19.56916722268853,6.1798073963159625,5860
Corn,Peaty,26,28,41,15.895023417864518,33.65268643429552,17.320972174111787,5032
Corn,Sandy,82,14,15,8.34614533457545,24.813839689742675,12.877320429791604,4573
Corn,Saline,79,48,46,13.150350705924012,37.59267607251199,17.42528815061168,4525
Corn,Peaty,92,58,20,6.540657443145461,32.59162303532009,17.39897926789929,1300
Corn,Sandy,85,34,34,16.70486833117272,17.67907928032976,4.909483392977695,4564
Corn,Peaty,99,14,42,6.357489766264919,10.496018338557498,1.3381170805526543,9106
Corn,Sandy,25,70,45,24.99624063499133,14.108283415396809,13.347118154848223,7514
Corn,Sandy,97,47,19,10.386409093075995,12.684667388490462,11.9192139742167,7456
Corn,Peaty,53,55,44,8.158748680435888,29.855672174825497,17.798311199431783,9193
Corn,Sandy,55,62,60,16.415718143585107,36.75032334681328,13.653541257050016,4630
Corn,Peaty,25,17,59,18.77381620925203,21.77358503467976,11.5564561407921,8143
Corn,Peaty,47,38,35,11.404832091661056,36.45268081350397,12.2734757934352,7202
Corn,Peaty,31,34,22,19.41901975009036,15.901994371573434,10.179946484641416,1395
Corn,Peaty,45,62,5,5.24342403641425,15.197471539696195,10.431159645083094,4768
Corn,Loamy,55,13,53,11.488308844918503,21.12341414388594,8.994050893216436,761
Corn,Clay,79,51,44,8.002643532637475,16.612890046670053,16.034250451989394,3053
Corn,Peaty,77,17,23,7.745016059894025,12.727119820039176,18.6493253306871,2117
Corn,Clay,74,28,48,10.837918099436358,12.836949356719858,17.41302775020288,8142
