Crop_Type,Soil_Type,N,P,K,Moisture,Temperature,Land_Area,Yield
Corn,Black Soil,24,56,43,9.856825045216992,28.913754259824707,10.334752108254026,6306
Corn,Black Soil,54,35,19,12.928449237232169,12.810719724770625,8.63476509779616,7929
Corn,Red Soil,40,25,17,17.57738539678001,20.22329638929628,9.25705859242014,5185
Corn,Red Soil,95,15,37,23.17729093689072,18.02047187748524,13.362350975485253,4833
Corn,Laterite Soil,75,31,26,7.05956822332682,26.71542237069515,1.791456986071676,7417
Corn,Alluvial Soil,49,15,12,12.120661133286584,31.61289790654455,16.301574395661145,6945
Corn,Laterite Soil,43,27,46,9.069587657855136,31.378243695462483,1.9883341218028767,7834
Corn,Black Soil,52,55,18,21.392456981451662,35.0282166157738,19.554057574460018,2655
Corn,Red Soil,88,16,39,23.2205060615526,15.463038701155291,5.656784067027099,2063
Corn,Laterite Soil,76,17,10,8.871586356292426,18.618880305910142,7.657789666378979,5983
Corn,Black Soil,24,13,11,7.95201645341902,21.58848734605312,18.136104763703205,2678
Corn,Black Soil,50,43,12,7.210889180397546,18.40460161169172,11.812922584054837,767
Corn,Black Soil,95,24,31,5.619653318249753,27.38069611104468,10.0025522226015,533
Corn,Black Soil,93,40,5,9.99348987570898,31.755275280912308,18.54302436729264,9694
Corn,Laterite Soil,96,28,15,13.665082930421711,17.547285019834053,1.910967309975521,7856
Corn,Laterite Soil,78,32,24,21.642595743236093,25.221580421091005,17.520103018349726,6434
Corn,Black Soil,85,49,7,24.917275156634872,14.325730656286703,7.121257107033763,7424
Corn,Red Soil,39,70,57,13.024402222371467,23.74871035325324,4.694329301040782,2514
Corn,Black Soil,90,47,18,24.676965037366173,15.4528063432304,12.04795443505526,6627
Corn,Red Soil,36,18,46,6.32881569246109,28.686754432713027,4.567596285137969,8963
Corn,Alluvial Soil,61,24,5,13.109623219116736,20.420547008084128,9.88568673758491,5785
Corn,Black Soil,45,44,18,12.196197273406623,21.63491042406697,16.72861269301147,5212
Corn,Red Soil,81,49,16,10.311717764847367,38.88677976228364,3.552089011284453,550
Corn,Laterite Soil,87,63,41,20.78263684294185,22.80814428862591,14.174025584679072,2624
Corn,Alluvial Soil,96,43,33,14.659940864441769,24.48908953404611,1.1393913248008989,1413
Corn,Red Soil,74,42,49,16.740909445853998,16.41928096166918,4.407549230345639,2576
Corn,Red Soil,72,41,49,24.65071505127192,12.423003926269232,11.208571560947384,4703
Corn,Alluvial Soil,39,39,18,6.249230300827106,36.69322145861301,5.806038886229188,8529
Corn,Alluvial Soil,30,38,25,15.676027791785687,23.38568410941433,1.1597692669877684,938
Corn,Laterite Soil,56,57,50,21.57183878752717,16.921798427558564,12.995468697266771,6115
Corn,Red Soil,81,63,20,8.635964326889846,38.43760317701268,11.137709416949614,3764
Corn,Alluvial Soil,57,38,32,21.515100330578004,20.975218913794222,15.539823333029634,3768
Corn,Black Soil,52,19,53,8.261502455998183,26.0644579537248,11.804176131133865,4340
Corn,Red Soil,48,16,20,9.27766994723772,16.19817452356648,8.424600194546628,3267
Corn,Black Soil,38,62,25,16.01131600592162,16.46362083738586,11.12019960029338,7613
Corn,Black Soil,60,56,55,13.683890761226458,38.589473514413456,10.114874355174322,2573
Corn,Black Soil,62,62,32,8.25802975813822,24.97550880226456,4.407226339671174,4673
Corn,Alluvial Soil,69,41,48,13.7398446810857,15.109941043936566,3.0337916495331942,6962
Corn,Red Soil,41,19,52,7.342437138766638,27.483297964570223,11.258194688249914,3954
Corn,Laterite Soil,46,22,16,5.49419180490151,22.45571795750658,19.066773571227262,9707
Corn,Black Soil,98,65,37,16.071048996961665,27.274543381636512,15.87670069121568,3878
Corn,Red Soil,31,23,34,5.098826297232368,26.262072703679326,15.468045757731526,7763
Corn,Black Soil,67,29,18,19.0463752127182,32.8120934582918,7.009566908316365,2745
Corn,Red Soil,93,21,20,10.861637982030905,39.85453404002038,4.5452434098080285,753
Corn,Laterite Soil,60,62,59,15.85690341902663,38.97121179297165,13.322742691927294,7771
Corn,Black Soil,20,49,21,24.104618596342856,28.598376287578866,11.846429276518217,5093
Corn,Red Soil,59,20,26,10.249735264228653,22.60644779553952,13.25793242588861,5116
Corn,Black Soil,34,51,42,23.846085740151032,30.423700815424944,9.540834886208248,1099
Corn,Black Soil,83,65,28,10.825484149286762,29.155375387144154,17.46881855349484,5646
Corn,Red Soil,40,26,50,6.558070294422238,26.51947325241921,17.59448256156193,3841
Corn,Laterite Soil,92,39,18,7.816167923381679,13.671296591873231,4.841220933858166,7525
Corn,Black Soil,34,39,10,15.529580420439045,25.631124931434023,12.21519527575846,1902
Corn,Laterite Soil,85,39,11,11.042165066474569,15.03190485201227,3.033081326247786,8569
Corn,Alluvial Soil,49,52,24,13.677804361470065,19.65829075589339,16.55539247354521,5505
Corn,Black Soil,75,38,21,11.06400263455068,21.36502022864643,6.554172364373355,5980
Corn,Alluvial Soil,84,47,39,17.702966989926587,23.450356836191165,11.421175458391268,7733
Corn,Alluvial Soil,81,67,25,8.190612606055321,21.68851897904365,13.95771114576461,8758
Corn,Red Soil,88,50,18,11.57518895497379,33.01504172677538,11.90935236024072,7464
Corn,Laterite Soil,49,44,13,21.33936739519901,17.58917965440891,18.055126777645626,5213
Corn,Laterite Soil,61,17,33,23.31065193550166,33.163332155860765,7.015628739792825,7752
Corn,Alluvial Soil,29,65,23,21.16759335772584,19.04296738918413,7.047279860976424,2139
Corn,Black Soil,65,62,48,11.879402026331585,30.809026627139247,9.060486492869911,2398
Corn,Laterite Soil,31,42,55,12.368955851108757,24.02101953438043,17.61343849256983,9124
Corn,Laterite Soil,81,32,47,14.820935534237094,22.63510552931635,19.47522737232757,2410
Corn,Black Soil,42,67,13,18.132341774105186,36.41524424441926,12.2878108435072,7507
Corn,Alluvial Soil,43,12,57,5.706779712567098,21.323664385171323,7.652953413757135,9928
Corn,Black Soil,60,65,48,5.555532175339595,15.695514521783998,6.469602785196916,3543
Corn,Laterite Soil,84,60,14,15.047124695633409,13.39917301026584,1.701068694560267,660
Corn,Black Soil,44,54,26,17.585712183806123,22.26019866567272,7.727494736469475,853
Corn,Black Soil,69,45,36,15.847640344397336,36.19131344302858,15.77334187602044,5487
Corn,Black Soil,30,33,5,18.304787115093568,39.14234237548408,6.613018322425709,1044
Corn,Red Soil,40,24,21,15.76618964448462,24.19070127939535,16.644419539139736,990
Corn,Red Soil,48,54,22,5.25769554107649,37.27185658217162,11.105599346524158,6453
Corn,Red Soil,54,20,51,23.84570092470772,26.336251838705845,19.20086555881744,7063
Corn,Black Soil,64,59,40,10.62935906659541,15.153831224490515,17.657309887297576,2972
Corn,Red Soil,85,54,59,16.758704996645015,23.474089803621453,16.042084261484085,1450
Corn,Alluvial Soil,43,37,37,20.24934009437507,20.455883237618504,2.656757901926009,1991
Corn,Laterite Soil,85,16,28,12.145770954824426,30.13127805860417,7.582591774340015,1374
Corn,Laterite Soil,41,38,48,11.160809722814806,16.989646507796273,10.919528358950002,5068
Corn,Black Soil,75,41,25,19.59615301694908,25.47898009021328,12.62891931224434,5420
Corn,Laterite Soil,65,36,37,13.238323120072195,16.423091538999614,15.045482027417572,7606
Corn,Red Soil,37,35,7,16.243901162895614,39.86205521494944,3.4865526535539995,3883
Corn,Laterite Soil,87,69,5,13.75246950920565,33.50969365162915,12.93862031179747,9124
Corn,Laterite Soil,21,62,47,10.496834227286683,23.485692184548803,9.700200022115071,872
Corn,Black Soil,82,44,40,14.210765939038067,23.499274614720264,13.24078520079683,5892
Corn,Red Soil,48,24,57,19.24154398775184,24.583207525180967,5.255674805653984,4049
Corn,Red Soil,33,10,59,5.249354916594409,37.63746920982405,13.21548878105577,8445
Corn,Red Soil,73,27,60,18.626355500787945,35.14623275206847,1.171815623616902,8238
Corn,Laterite Soil,42,56,42,21.62561766128708,26.432440038235995,11.330091033669634,9074
Corn,Black Soil,23,11,59,24.68260744825028,29.394456188731468,4.328383108939363,6791
Corn,Laterite Soil,100,54,50,18.385605062733745,27.71222635846026,6.731214584888299,3095
Corn,Alluvial Soil,26,17,37,10.673788820242898,22.44740074280592,13.806707518102732,2808
Corn,Alluvial Soil,71,61,30,12.45012086349213,24.030081954995616,14.627605187142471,5028
Corn,Laterite Soil,38,38,47,16.2058589324575,24.958744309833733,12.136150982189204,3811
Corn,Laterite Soil,49,43,60,17.52360906394093,20.8261961348282,0.6290102803081669,7513
Corn,Alluvial Soil,23,30,37,15.466193349162625,33.86944449002871,1.6808863957737028,5243
Corn,Alluvial Soil,95,39,23,23.54034033448393,20.61373975780125,3.4926995851195244,5201
Corn,Alluvial Soil,84,23,45,10.784254309152791,39.37960904533115,0.5878855587218034,3893
Corn,Black Soil,58,27,15,6.458733448198619,34.41488392670203,17.332586145035286,9191
Corn,Red Soil,28,34,21,6.079864280866989,36.189688398381264,8.290293726906093,6900
Corn,Black Soil,60,40,38,10.070748262008683,16.12559537804814,1.9574590530962184,4241
Corn,Red Soil,27,57,59,16.855327523704773,16.84318624783101,16.724251845278616,3500
Corn,Laterite Soil,62,64,40,23.09897936335788,36.41595316147042,15.830956884711023,5357
Corn,Laterite Soil,76,16,9,22.26912185196578,38.12663317164303,10.819825552142229,1859
Corn,Red Soil,71,13,38,14.798364985562433,10.173531898914554,6.155252302947452,3874
Corn,Alluvial Soil,57,57,8,5.771784564327835,32.987905862028946,14.299819886930212,7057
Corn,Black Soil,69,38,57,14.695912258665746,28.96156513141761,8.382081040743003,2496
Corn,Alluvial Soil,29,45,21,15.134901066799806,23.67750744391199,3.683888630414817,5474
Corn,Red Soil,85,30,5,15.03622268721088,36.79030712693763,4.725062747461174,5299
Corn,Laterite Soil,88,34,48,15.517719724795231,28.015200797087303,3.8900191798396495,3808
Corn,Laterite Soil,92,15,26,20.677721125548583,39.20663027978446,6.400091995584254,7889
Corn,Black Soil,77,13,19,22.52175482482668,32.38071556761385,10.783568048571269,6617
Corn,Red Soil,41,52,58,19.122074130805643,23.04488338568473,19.432081615480136,4936
Corn,Red Soil,40,43,18,6.137176531028599,37.2819352609109,15.986603989312496,7211
Corn,Laterite Soil,69,36,9,10.418174391500328,37.89451085162656,4.183091640519351,7899
Corn,Black Soil,34,69,51,9.342382509414197,13.774110149554534,5.017713725403912,3450
Corn,Black Soil,87,69,25,8.829672794309644,35.17795186598603,9.769355489235307,3661
Corn,Black Soil,51,28,33,18.66894252335828,14.292530139669015,14.651754009836482,3123
Corn,Laterite Soil,79,47,25,15.521657940088025,20.0106912309166,16.85910488116156,4275
Corn,Alluvial Soil,94,30,59,9.481101247378623,34.91541065224843,9.19525154199948,8530
Corn,Laterite Soil,89,13,19,16.848437992496592,38.85411510283326,10.60699976952304,3402
Corn,Red Soil,79,31,33,5.70236646421777,24.57889830506684,15.8246457516416,3860
Corn,Black Soil,72,54,23,10.894746599186952,27.55590417171325,19.18554908235507,8274
Corn,Alluvial Soil,34,30,19,12.616186939077773,19.8003053903875,11.703184431613218,1585
Corn,Laterite Soil,29,14,51,6.703969347597816,27.13975720560739,15.712492979071476,7875
Corn,Black Soil,20,12,55,6.7471046827421,31.28050031385273,6.463226367229536,5144
Corn,Black Soil,87,51,12,11.9185073749231,22.8373780654022,11.406139120050904,1367
Corn,Black Soil,65,50,56,5.2615927433100085,39.44107328318595,4.142431812021755,1389
Corn,Red Soil,77,34,37,8.17931260505383,39.02552370681846,2.306697679652696,3289
Corn,Alluvial Soil,95,27,42,11.68749209892054,14.130155607665362,19.905761051860605,6550
Corn,Laterite Soil,23,30,59,24.39181208019277,10.955333873111332,16.29315760456732,7920
Corn,Laterite Soil,100,13,22,18.99698908160879,19.26253016336065,14.695900872060117,4084
Corn,Laterite Soil,95,46,34,14.825410444275056,37.14186752698917,1.0376410280819606,5044
Corn,Black Soil,31,11,21,24.52186384850816,31.993009169964832,1.082019652450315,9190
Corn,Alluvial Soil,64,37,22,12.921357351593745,39.97270327923988,19.869532091609653,9605
Corn,Laterite Soil,33,52,19,7.263474060660775,11.87878854109585,8.505803477850812,6347
Corn,Laterite Soil,95,70,26,8.277682742623726,16.72501079606383,1.0371572307045982,5276
Corn,Laterite Soil,74,59,26,6.94687273279629,36.66980149632962,4.973232297161687,1377
Corn,Alluvial Soil,33,57,41,19.388830854919103,28.085799562215264,15.866667881486118,891
Corn,Laterite Soil,64,17,20,18.33342093778697,15.736891704785345,18.08289599961588,8407
Corn,Black Soil,48,12,31,19.75082362677647,24.72754086460915,0.9141641472670416,1107
Corn,Red Soil,48,55,50,20.18306331200048,29.555292614127307,11.600153147908149,7560
Corn,Black Soil,42,18,17,17.27132215884702,36.6728988202726,10.029784217465538,2772
Corn,Laterite Soil,81,62,40,7.331711253524322,30.16601418317959,6.679006092195767,2816
Corn,Red Soil,60,44,48,14.975031192088096,20.67866618641063,9.367215695782903,8579
Corn,Red Soil,95,27,59,24.466607992138304,31.20032882756701,5.833586436934056,6962
Corn,Red Soil,93,45,42,17.371125422520578,12.805215411164289,5.046091234450844,9264
