Crop_Type,Soil_Type,N,P,K,Moisture,Temperature,Land_Area,Yield
Rice,Red Soil,82,63,21,18.496427162737795,32.02209576678968,8.111927219882652,3253
Rice,Black Soil,53,40,57,15.17420101944248,33.05601188357731,18.468079823854627,5792
Rice,Black Soil,79,43,37,5.573841162112139,22.785772390983,11.789897339604014,3095
Rice,Alluvial Soil,35,46,45,21.29955737970848,34.58241335461752,12.152423722059682,6850
Rice,Red Soil,80,17,10,6.543437407076262,37.064153182154726,17.862157005663267,7015
Rice,Red Soil,89,18,18,11.520443407429886,27.252252021636064,19.02464695705223,1171
Rice,Red Soil,79,36,46,23.960222984580632,11.692695134762284,8.577122533442546,2181
Rice,Laterite Soil,98,59,33,18.086333041020453,22.524439394570912,16.657390950121524,4582
Rice,Laterite Soil,97,61,60,14.236483699023752,10.889358796231424,3.7461726534325503,2519
Rice,Red Soil,85,49,23,9.461473135390396,27.519875946343607,2.5033446954451444,3048
Rice,Alluvial Soil,45,27,56,11.226164802019715,26.55007706684031,7.023230063473207,3141
Rice,Red Soil,68,54,31,5.750021607547032,17.352661122173927,18.88275111453704,6453
Rice,Red Soil,25,34,12,5.15946147190034,15.358561477243017,19.08145867865198,7300
Rice,Laterite Soil,27,21,5,7.823930828051147,30.97430463573723,9.221883575784926,2010
Rice,Alluvial Soil,33,62,24,5.594589096906784,13.85053517442032,5.291262240232832,1364
Rice,Red Soil,62,22,30,11.429282013992008,18.09053877352674,17.265964790342224,6797
Rice,Laterite Soil,38,51,41,5.394751726860772,18.51673849292848,5.872216420860188,3775
Rice,Alluvial Soil,52,19,45,9.971877012199432,25.05444186298202,14.93625655033483,8989
Rice,Red Soil,42,42,13,9.695403570478236,33.71804215651112,3.9303012128785055,5812
Rice,Laterite Soil,89,46,6,5.123909213018116,35.36268390262167,15.13707972804386,5939
Rice,Black Soil,86,43,37,20.252911031896204,15.893267835056566,2.7876165465494664,3527
Rice,Black Soil,81,27,38,20.09218386942532,14.273581060763991,11.384965762398272,9852
Rice,Laterite Soil,20,13,31,21.70856972395438,17.858447020774086,16.923977355894706,9869
Rice,Red Soil,62,60,43,18.710906648387493,31.64112041267208,15.198817895750423,3404
Rice,Red Soil,27,51,36,9.450983558652874,21.756394565866987,14.795347761105774,8652
Rice,Red Soil,53,63,20,10.41908100357914,27.27949784608623,5.207215302326454,7073
Rice,Black Soil,41,56,39,15.870985405670986,14.039638934868844,8.223786879280341,3892
Rice,Red Soil,95,20,28,14.378618765015112,39.01256789133216,16.723921739970695,5998
Rice,Black Soil,38,25,35,20.89797457787576,27.6308410832628,15.028071428988904,5252
Rice,Black Soil,60,39,26,19.633135637529307,30.292502427979777,12.916771996505831,4851
Rice,Red Soil,28,29,48,15.36487468800936,35.77669203724871,17.520529863306564,9308
Rice,Black Soil,60,14,42,13.15628422558208,29.55057797657671,2.648451945989021,8594
Rice,Laterite Soil,44,58,60,6.898741366063734,17.566823275011593,18.6844676169388,5293
Rice,Black Soil,34,65,36,17.874481808237277,13.668059022698744,6.049113313753067,1277
Rice,Black Soil,58,49,11,13.76466100636107,24.0515202127088,9.12249899839732,9067
Rice,Laterite Soil,59,23,9,7.297316550219362,31.370355425634926,19.52466509073432,8868
Rice,Alluvial Soil,40,31,11,5.968234436129089,14.650663771239635,17.384023857238898,9180
Rice,Black Soil,52,14,37,24.47511819398201,29.320715929506008,11.9775509593862,2960
Rice,Black Soil,95,60,43,17.22344993641127,38.59544143065269,9.551746813615065,8082
Rice,Alluvial Soil,64,52,16,8.630646489994383,32.328637065859965,14.291564905863446,1856
Rice,Black Soil,56,31,8,5.15237508330173,23.785156680863864,14.1605581356941,2545
Rice,Laterite Soil,88,61,44,13.76683350136804,25.71839801752053,14.430135834038548,3827
Rice,Red Soil,72,29,27,9.519118069060378,37.09085300004752,10.76530917918901,8332
Rice,Laterite Soil,51,10,5,24.923602090647822,29.73997426007808,4.370890263963092,9391
Rice,Black Soil,63,31,18,8.075604657635147,16.882047571504692,7.6984512920875074,8106
Rice,Red Soil,53,63,39,22.89342964612612,23.51099311522926,5.834551436158822,4397
Rice,Alluvial Soil,33,21,28,6.382645262739741,11.713883582062754,7.574013096150627,7706
Rice,Red Soil,25,24,48,6.746240471562159,30.139389820677987,4.196146178893436,4763
Rice,Alluvial Soil,25,15,24,17.726716571361987,33.45493723351685,18.296711643978487,3592
Rice,Alluvial Soil,89,32,29,18.4750323675594,33.37093530977525,19.53200248042642,6730
Rice,Laterite Soil,35,65,28,20.219425531340747,17.878308810076593,6.949439399476243,3966
Rice,Black Soil,94,52,29,22.237498124832523,24.47244643005249,11.64131076792786,9008
Rice,Red Soil,43,44,13,16.367551461866217,20.097654371005504,8.653903783230847,4001
Rice,Red Soil,51,34,14,20.485982626170447,10.375340304638192,11.954677754259118,1477
Rice,Black Soil,28,39,52,13.046054221103642,24.06317201766264,14.300133478556212,4490
Rice,Red Soil,22,14,35,10.58826868089971,16.903633196041397,2.189137703666129,4881
Rice,Black Soil,43,21,25,21.728821991548987,19.04588309059868,7.860556787454508,7987
Rice,Red Soil,64,26,28,11.11089251585067,27.241507533288093,12.03397380604956,1044
Rice,Alluvial Soil,34,57,24,5.485961772864123,36.80909162542797,1.2697662019514295,7335
Rice,Alluvial Soil,73,62,31,13.48672078654226,22.17055315741878,1.5634241343076094,9445
Rice,Black Soil,62,17,34,17.222553647816476,10.355820223595307,1.0473669268601538,5993
Rice,Black Soil,67,27,22,16.579926240221546,12.06311020569799,8.803058460596802,9447
Rice,Red Soil,25,56,28,5.447457113741379,34.24722678249364,2.477763345080383,4461
Rice,Laterite Soil,92,51,32,19.475649724449625,28.43197412907947,5.433029598915488,8623
Rice,Red Soil,50,50,51,7.618935397400158,39.77016181243462,5.133833447501677,1300
Rice,Black Soil,81,38,13,14.021889351126584,17.26015301395167,8.085976294965304,7843
Rice,Alluvial Soil,30,33,56,14.34473381513632,32.82267959200091,13.16691725478377,9978
Rice,Black Soil,26,54,46,11.937254148771132,11.195797268268365,14.130302307997528,8933
Rice,Alluvial Soil,68,40,19,9.362946400705798,10.746655950901268,18.368458859761155,1281
Rice,Alluvial Soil,88,16,55,19.6321718059866,11.453542774762177,5.404727156481421,5360
Rice,Red Soil,69,61,17,23.31903432723232,36.922232314987006,9.654564576214607,6587
Rice,Laterite Soil,47,16,54,20.918219593350464,12.314309685674443,5.820667270701091,1667
Rice,Alluvial Soil,66,41,41,8.244235184839507,24.117820007237235,0.9346523340951188,8546
Rice,Black Soil,39,19,47,9.810789465951812,20.564785607823843,13.303511995328892,8916
Rice,Laterite Soil,61,42,23,24.81548782558503,28.895597494426404,11.600023051858408,9337
Rice,Alluvial Soil,71,45,15,7.853529765508302,26.448199021580496,5.170068001018655,1298
Rice,Black Soil,51,56,46,12.134520778619446,32.99498252762059,1.7278467193219704,8196
Rice,Alluvial Soil,36,47,10,22.209084045077613,16.180776536617152,5.179810661358508,4512
Rice,Laterite Soil,25,49,20,13.286305738950412,22.54312408846941,1.998690445280068,1517
Rice,Black Soil,55,37,20,15.62701614439469,35.18478232359525,15.687900267606958,827
Rice,Alluvial Soil,58,35,44,11.588171734597728,10.068708814219212,17.351207322492808,6960
Rice,Laterite Soil,93,63,5,22.7701898572409,35.09994851613483,9.70862377756925,6749
Rice,Black Soil,42,64,17,10.479430986954068,10.084331628652556,0.7272146686600238,3966
Rice,Laterite Soil,29,41,10,16.87806043154641,21.301409659439663,15.021792683609824,3222
Rice,Black Soil,64,34,43,14.26848144064978,21.98433612751284,4.00866714767848,562
Rice,Alluvial Soil,41,58,39,18.91041644184791,24.95935302983945,13.805769949566017,2293
Rice,Red Soil,36,25,60,18.86646896270109,36.08050208489978,15.758470706043736,9203
Rice,Black Soil,79,59,44,5.723942096306642,12.235014915952526,3.29257490761169,4412
Rice,Red Soil,36,45,51,14.274037410984748,16.292916904632566,5.96101363194901,9515
Rice,Red Soil,82,14,52,7.279708086705852,31.091209264878,5.29120089333162,5107
Rice,Laterite Soil,66,39,28,14.06551256943416,34.548721149358826,1.9857237098169696,9532
Rice,Alluvial Soil,85,52,11,8.573315926949459,33.40927696546149,10.944124226198694,2763
Rice,Black Soil,44,14,45,22.34309499531808,37.14991199855239,18.55076389755765,6217
Rice,Black Soil,56,37,59,5.086354869281687,36.60629730254797,10.349792597025488,6856
Rice,Red Soil,48,51,13,7.626052377686461,22.04195176942128,14.7116164572699,3329
Rice,Black Soil,38,64,58,24.426549234811887,31.103018659731376,15.689512814218464,6141
Rice,Laterite Soil,74,58,17,18.992500326281125,29.047094174941154,17.614260745222353,8486
Rice,Laterite Soil,29,69,6,17.25236082410907,22.14759765726386,15.777339135376334,3305
Rice,Red Soil,30,28,37,9.561951838522496,36.1187072608051,0.5852642503806453,5714
Rice,Laterite Soil,46,67,28,13.79793526408931,12.50588289505081,10.313148318013551,6321
Rice,Alluvial Soil,83,31,37,9.852623838904249,26.253957618682417,14.24574716594559,2886
Rice,Laterite Soil,74,24,53,7.017673789244469,24.59096840339444,19.18627772142293,5457
Rice,Alluvial Soil,95,24,10,5.9952994659554655,13.395776221580276,9.352614333316604,1238
Rice,Black Soil,40,47,20,14.476392945006658,38.724915077855336,19.80715983027387,6772
Rice,Red Soil,59,55,55,11.925439466073462,30.21632956044,7.422996032989076,9750
Rice,Red Soil,27,50,9,8.466787740925813,28.226238893819907,14.43928373679806,728
Rice,Alluvial Soil,81,25,35,18.207621321519586,24.84818326234815,14.12799273342066,9772
Rice,Laterite Soil,23,57,11,20.39698803362876,25.548611938127628,8.026200136153088,3335
Rice,Laterite Soil,80,47,23,23.402908038816,15.203601547102371,13.803683326393871,5613
Rice,Red Soil,95,38,35,10.757267540498985,17.553164555656444,2.1269312293065745,7045
Rice,Laterite Soil,43,29,18,6.213638004761737,19.61753892900001,7.811140430547729,5283
Rice,Black Soil,36,47,16,23.380721208533625,16.737569807726807,4.033710231945944,2526
Rice,Laterite Soil,69,31,38,6.874610645114796,13.810211431369346,2.420723853223925,1190
Rice,Black Soil,52,69,37,7.876073860685793,12.078650047819348,17.977146602481422,1343
Rice,Black Soil,31,66,52,5.818422827568915,37.664756107845605,2.624150143001333,9805
Rice,Black Soil,55,38,18,9.100738997927952,29.155698781210493,3.047624102452409,7254
Rice,Laterite Soil,71,55,46,21.11602855335456,10.404773173243534,0.7816279112853536,8887
Rice,Alluvial Soil,40,56,58,14.816370805432486,14.361019136604048,4.46314528408003,8749
Rice,Alluvial Soil,63,20,14,11.05994061396578,11.02537573472276,10.418076171901744,6367
Rice,Black Soil,67,70,58,15.230092463490596,16.26272634201607,16.78215093709395,7729
Rice,Alluvial Soil,40,70,35,19.252630051603603,33.20991879635152,3.7610249729209055,7650
Rice,Black Soil,44,38,27,15.56298222191555,27.35333646737201,6.611123594424659,5315
Rice,Black Soil,21,40,39,18.133911040849227,32.52364200070845,7.070180928389885,5675
Rice,Black Soil,70,55,7,22.29383272607135,13.04027263172619,4.835262202813601,5194
Rice,Black Soil,53,13,10,12.281128577973742,11.39897286853667,4.826278030818615,9805
Rice,Alluvial Soil,69,51,20,14.118368029706636,21.177389015500754,9.804505800076448,7619
Rice,Laterite Soil,76,16,17,14.074395726674917,25.459203324051373,15.081224360648688,5251
Rice,Red Soil,68,35,60,19.939032700197004,38.39578453688205,10.09218151148516,6917
Rice,Red Soil,68,65,51,14.38327843241122,36.85450659790605,13.687269042311208,7590
Rice,Alluvial Soil,66,37,56,21.26652042629069,13.613311417237233,14.643617886687876,9625
Rice,Alluvial Soil,77,56,41,8.98468854662129,15.080094147072732,8.441000966651817,954
Rice,Red Soil,71,18,24,11.873631391756232,21.48143735683803,12.958894616417483,3762
Rice,Black Soil,81,51,13,6.431742552142534,33.93669906041311,9.4556374729157,5171
Rice,Black Soil,82,43,38,6.343397652025611,15.5624732348169,8.213630575446714,9712
Rice,Alluvial Soil,63,26,17,8.542450287813697,24.5768727345248,7.437654846911742,7772
