Crop_Type,Soil_Type,N,P,K,Moisture,Temperature,Land_Area,Yield
Soybean,Loamy,66,59,11,24.592567668534635,20.653233995508423,12.117767195735004,8187
Soybean,Peaty,83,22,24,20.697738912681118,23.53378944722113,6.169781867856207,7117
Soybean,Saline,25,60,55,11.014358820858126,35.477937377983984,3.092663808692853,7676
Soybean,Loamy,87,10,41,19.28518304300706,22.97965174641973,9.406762440465672,2140
Soybean,Loamy,64,33,53,8.036838940492778,24.6532626735729,18.359436206095367,2168
Soybean,Clay,33,46,32,19.13344139082543,36.70561976208552,6.7284006161369305,7140
Soybean,Sandy,87,37,7,24.338395917598085,21.77637119741613,16.773600911914404,1250
Soybean,Sandy,57,13,22,11.393508863323598,20.35225371457945,14.92655978038116,4880
Soybean,Silty,82,35,36,24.13516789442557,36.80633228190567,3.196186501930107,2366
Soybean,Peaty,31,40,32,15.760176031369916,28.164934766944143,14.694139393959505,755
Soybean,Silty,41,53,47,14.93977466952394,30.787403934305537,19.709847727344595,8724
Soybean,Clay,38,23,11,23.43666506418077,20.63566261353195,7.923103305598234,3178
Soybean,Loamy,75,17,31,15.681018432618858,15.299457976851889,17.090482316775834,7060
Soybean,Peaty,99,23,22,15.839751319364511,34.38957420137591,15.881131748983387,820
Soybean,Peaty,63,20,35,21.262244420823457,37.69323167320941,1.693298989050719,2041
Soybean,Clay,92,66,37,24.192067554154335,35.35741679108362,19.160072184453085,6044
Soybean,Loamy,61,31,10,15.16283799599498,16.78817356650373,7.857947814557713,2746
Soybean,Clay,47,34,6,23.99376006737668,18.69927148609846,13.48683014094421,3469
Soybean,Loamy,25,49,6,6.516684582396152,27.83357489133543,4.463004205282166,6044
Soybean,Saline,58,54,59,13.49879963976639,11.118186045203169,2.735216689656455,7113
Soybean,Saline,75,29,37,17.225703774970334,37.30086706317125,7.688435319253983,1065
Soybean,Loamy,84,31,40,15.031190769621858,10.975083660597427,2.308047300651179,3344
Soybean,Peaty,43,55,38,9.933579127322146,21.167158904542838,14.308924977726504,9371
Soybean,Clay,55,61,20,10.841015927090412,12.31832462763296,19.05012208869402,5367
Soybean,Silty,71,37,48,20.76967436400555,22.983931929813,7.030930335015297,7417
Soybean,Clay,68,55,14,10.404300271501237,35.10347965381197,2.3306658645698457,6090
Soybean,Peaty,45,58,20,21.144929590780265,19.500869756868056,14.720937678171408,5726
Soybean,Saline,98,11,55,11.537773649828477,20.97325959410403,1.605615839637541,6261
Soybean,Loamy,67,12,42,9.015420879208186,34.68247386662201,8.721238234544185,4250
Soybean,Saline,33,42,60,13.376332774523323,25.847604736094635,11.289693947297447,6434
Soybean,Saline,76,51,47,16.342826070022376,36.77757325291247,7.754953567268904,6732
Soybean,Loamy,52,26,60,11.823572461784746,30.349964899082597,5.305133886661586,2731
Soybean,Sandy,98,28,55,5.011105163959044,27.088139919864226,12.862066249475731,6239
Soybean,Silty,85,61,51,7.556589450383084,28.35431255667696,14.56832875785864,3946
Soybean,Sandy,46,15,19,9.304682477985684,32.73068359729364,8.631314859552372,3766
Soybean,Saline,60,25,11,14.645850301286847,19.41671672711269,17.376382219392035,3535
Soybean,Clay,32,57,44,6.558283718472766,11.812224111750774,12.292371486966813,885
Soybean,Silty,88,37,10,14.188725255273749,30.53007254169,6.832852916909408,9514
Soybean,Loamy,53,15,57,6.230383414666861,30.80688997101105,3.89034859812761,4501
Soybean,Saline,46,52,49,9.444261494594157,12.74135335270522,17.23912926670641,3018
Soybean,Loamy,21,21,22,21.577649292692072,13.553218357079196,12.19405759484536,5334
Soybean,Loamy,74,66,21,19.38155772416737,37.639938495497255,12.638319233107822,3501
Soybean,Saline,38,57,52,9.85022619532971,13.278557046980108,5.615097736368275,5323
Soybean,Saline,49,53,9,21.98499130841718,15.42245390927759,9.603417168534188,1942
Soybean,Peaty,94,70,27,16.100032320424614,37.38938354042667,16.04179084137854,9126
Soybean,Sandy,95,55,28,18.318145923250416,10.23067184966785,4.524810599001477,4962
Soybean,Clay,68,15,17,6.036861511081806,28.15170639347419,19.887224974643164,6277
Soybean,Sandy,95,27,14,23.320233444531738,13.094455189639667,17.400714558684204,4643
Soybean,Peaty,73,54,51,23.50691394534017,19.84640573467392,8.556534500334722,5133
Soybean,Silty,89,59,31,10.28796559102535,27.709530808925447,17.573304676320916,893
Soybean,Saline,30,27,21,9.540058088183624,36.455334788032346,17.529724907525814,672
Soybean,Loamy,59,19,31,9.02612622926397,17.388504997813964,13.055312426113,5738
Soybean,Clay,47,34,25,23.189107787355645,25.446467087211865,8.407921129280172,2382
Soybean,Clay,52,67,9,22.021987496037497,35.019782094239375,10.490348893364043,2807
Soybean,Loamy,49,57,12,8.214633311602825,38.03638790929385,4.416821051995786,664
Soybean,Silty,65,40,23,15.87610232747343,24.21851263842365,0.5722121364696715,4411
Soybean,Saline,43,27,55,12.734772909501302,35.783074280285774,12.78914894270025,1898
Soybean,Loamy,21,17,12,20.899148062137904,11.648584002090043,4.868885168963842,5319
Soybean,Saline,39,41,60,6.24126762505322,21.13076825055752,5.991859158021967,6791
Soybean,Peaty,72,48,60,8.879130193754767,30.84846946797983,19.117517169386524,6872
Soybean,Clay,57,44,24,23.66648449593229,11.919664534319809,9.434893775102193,6485
Soybean,Saline,73,11,13,16.14783993599802,19.167570077055515,2.3119489229498136,7642
Soybean,Sandy,65,37,35,7.391829948216748,38.51868478683011,5.311309523786402,5101
Soybean,Loamy,94,55,27,14.530214729140614,23.57807650188265,5.046576946278085,9507
Soybean,Peaty,55,63,58,14.6757032079082,29.10764475573907,14.403111309969043,6326
Soybean,Silty,71,31,12,17.188025697013554,28.204632944440117,12.00259814800391,9202
Soybean,Silty,92,39,21,12.14026808237152,37.27037295721654,6.60912450167778,1680
Soybean,Clay,29,14,31,6.668703615901519,11.395365089719265,5.192361320757597,1847
Soybean,Silty,52,21,48,21.016980336133635,27.314311386682583,4.82005800039233,5214
Soybean,Clay,27,65,50,10.51911015037499,36.27168470718032,12.163761433704838,5534
Soybean,Saline,81,24,43,15.664726813317838,37.23282386868351,15.257079361906566,3821
Soybean,Saline,45,40,51,5.950355109450292,27.595215569403702,7.92105066544283,7804
Soybean,Sandy,55,66,14,8.354865170648523,16.08861475887506,19.077362936250797,9044
Soybean,Saline,93,20,51,20.609122951677257,24.29343558798547,17.99171912473642,9161
Soybean,Saline,76,39,34,9.624237822780351,32.37246191779268,13.0793938536845,4384
Soybean,Loamy,96,66,36,10.86996949508881,22.73113340655048,16.105578703410956,748
Soybean,Loamy,98,68,21,24.263552258237915,17.256303880996036,8.992945723405773,9615
Soybean,Clay,86,65,34,17.016205880363053,27.67495702127321,6.81626845689548,854
Soybean,Sandy,82,34,12,5.206397546000352,12.574628042501235,9.558314395757796,9052
Soybean,Clay,98,41,21,12.82693080329734,29.852471223720684,8.567088504686982,5154
Soybean,Clay,47,19,8,12.238593272847378,39.50029212000809,19.811443720570185,9421
Soybean,Silty,62,15,30,20.12558835149872,39.89525864951602,11.162056369440233,7440
Soybean,Peaty,41,19,31,20.04242814926894,24.027890472575614,3.527439079510155,4422
Soybean,Sandy,39,31,26,19.54610767476651,20.219574026869065,9.665277314414872,7215
Soybean,Peaty,47,49,29,13.8692820794029,30.950791949012388,6.948755777305824,4960
Soybean,Sandy,56,39,23,14.27347199490671,35.12873323210778,8.140984411264842,8869
Soybean,Peaty,45,65,51,7.834387054446454,37.48383318971447,5.780944294049734,2166
Soybean,Sandy,34,45,60,5.059407914359588,15.791997005707731,10.93903263837882,9417
Soybean,Silty,68,49,40,10.010378635734998,35.022650517908474,0.7274922557693493,967
Soybean,Sandy,37,54,34,9.584560569079311,23.334925435144424,9.236492635124645,3155
Soybean,Loamy,21,16,19,13.81104567615876,16.516346662940556,13.16724177835238,1030
Soybean,Loamy,35,63,17,11.974659155251976,17.308394098597354,16.980524582360307,607
Soybean,Loamy,62,20,54,16.38855286011393,25.40587801054682,19.0981139979738,7053
Soybean,Loamy,63,11,35,11.209749835945178,26.53839917035581,7.28372507402813,8782
Soybean,Loamy,33,25,31,17.95405398500533,34.335624854397125,6.687914252236338,5270
Soybean,Peaty,23,52,48,14.09488254408918,24.80086332552277,16.487425645981624,7947
Soybean,Peaty,62,51,52,20.405542149585763,17.65651876174794,4.329284205023386,7719
Soybean,Saline,70,17,55,17.562892714871282,15.64582098882795,4.549952937217019,1588
Soybean,Sandy,55,65,42,20.5688539845168,37.73993934611965,8.215308889595867,7432
