Crop_Type,Soil_Type,N,P,K,Moisture,Temperature,Land_Area,Yield
Sugarcane,Black Soil,88,62,45,12.6952916841265,24.413845981728905,6.232324927483663,6240
Sugarcane,Alluvial Soil,59,14,58,9.750153738367118,34.851307122291615,15.83654159076025,7288
Sugarcane,Alluvial Soil,29,54,45,16.524456639316575,22.72629107296788,14.453448106026649,4600
Sugarcane,Alluvial Soil,45,47,15,9.968696686158127,32.501396549321804,12.748822929771372,7057
Sugarcane,Black Soil,73,42,47,11.699662177044049,36.69179094482495,15.335469418462418,7481
Sugarcane,Black Soil,86,21,23,15.902617959513243,29.047653440871827,14.832780828087772,8376
Sugarcane,Laterite Soil,59,40,16,19.47991956159913,18.51029678687889,15.32788667117817,5685
Sugarcane,Alluvial Soil,27,35,20,15.466026805383216,39.20261760098097,10.51627197243981,3323
Sugarcane,Laterite Soil,94,33,51,20.071926156007592,31.37754234765703,6.33870497535713,8011
Sugarcane,Laterite Soil,67,51,45,22.910696888769927,26.75780551312435,9.857155756285575,3650
Sugarcane,Alluvial Soil,79,21,50,5.230382164926777,39.5130847563158,16.591455677824072,4074
Sugarcane,Black Soil,28,35,15,5.905443510407755,34.20425262676861,19.43266411915211,9617
Sugarcane,Laterite Soil,35,63,30,20.61475454456637,23.32174347136545,5.158099057850379,9493
Sugarcane,Laterite Soil,54,38,24,6.378022452319907,35.23470182106351,15.011501719643013,8852
Sugarcane,Laterite Soil,66,23,15,11.402404598646136,29.3187282223024,8.77710430693367,7319
Sugarcane,Red Soil,91,65,43,10.22293343831796,30.826636847447983,13.591108715604728,3031
Sugarcane,Red Soil,73,20,58,21.86792537548062,17.41280534022952,9.828063090007488,9229
Sugarcane,Laterite Soil,96,30,45,6.1006224817697134,15.834044984435833,8.802076820894804,3953
Sugarcane,Red Soil,30,64,16,13.003975127059215,33.4762824586704,7.463774194093076,8988
Sugarcane,Red Soil,42,32,17,8.672917505304978,39.332710700583824,8.96794678670784,5519
Sugarcane,Red Soil,69,13,31,16.442809911928016,31.331227626909246,12.880812884136848,7461
Sugarcane,Alluvial Soil,34,31,37,22.22800851538651,31.64655850244236,10.819566082105332,5723
Sugarcane,Alluvial Soil,81,27,28,23.13761879335752,35.518151757542824,18.86865561741734,4063
Sugarcane,Red Soil,41,17,59,16.4074592154398,22.28803237377665,13.873008380384578,7296
Sugarcane,Alluvial Soil,98,57,49,21.04293566831204,19.033197449623387,12.938909233311328,9354
Sugarcane,Laterite Soil,92,37,23,23.247298971741365,37.90625178528509,12.98424023544799,5177
Sugarcane,Alluvial Soil,93,19,56,7.5343663139533295,21.49754307950457,8.143217797580933,4085
Sugarcane,Alluvial Soil,65,37,41,12.062625055031278,24.203932456203464,15.085562766687934,6682
Sugarcane,Red Soil,25,44,24,12.439282687676274,31.56283817601929,13.783694165693856,9296
Sugarcane,Red Soil,79,27,37,16.90001967168196,25.26611858948708,18.45162536452508,7246
Sugarcane,Laterite Soil,22,21,48,19.084472204594093,24.791242658930788,8.030930175206485,3164
Sugarcane,Alluvial Soil,21,24,57,18.55057724202755,18.437582711191244,6.065571646456224,6269
Sugarcane,Red Soil,52,30,32,21.36038146833411,20.822289672119556,11.481846964935242,3671
Sugarcane,Black Soil,25,38,53,18.171926514198876,24.944394284438708,14.075625758698395,5825
Sugarcane,Alluvial Soil,47,58,35,6.241109096853041,34.77683862780313,8.945459261250736,5370
Sugarcane,Alluvial Soil,76,21,42,21.650364590042525,38.9368105749079,16.601175922743373,7026
Sugarcane,Laterite Soil,89,48,25,18.98343351457784,21.57629974142633,11.219151622724862,4625
Sugarcane,Laterite Soil,51,22,40,9.729769440583771,27.1254632800174,15.57851895555463,3504
Sugarcane,Red Soil,87,32,59,22.41177207972496,24.883206040487245,6.859286581299706,5249
