Crop_Type,Soil_Type,N,P,K,Moisture,Temperature,Land_Area,Yield
Wheat,Silty,37,50,52,19.75447054975796,15.712048699904798,16.912540052168485,3474
Wheat,Loamy,69,44,40,16.859014973777445,27.461295384361534,10.3787618121657,4928
Wheat,Clay,94,53,25,12.408886007859108,21.076140394268517,10.96941869968506,9278
Wheat,Clay,23,70,43,10.176298764217629,13.67645088644329,16.70591889972701,8463
Wheat,Silty,49,57,45,15.846173800457931,38.08295447899804,19.79240405328397,9171
Wheat,Silty,92,22,35,17.905777148648603,19.31028050388346,13.605194521500396,1044
Wheat,Clay,41,19,44,9.846047899926791,32.912762823482964,8.700713640481165,1163
Wheat,Silty,83,39,59,7.791571084107341,35.360199874179905,9.74056388647787,8073
Wheat,Saline,49,58,43,24.75194361046665,18.056965897528112,5.947381695040316,784
Wheat,Clay,34,40,40,16.128150275066794,25.771645465190357,8.66014828580476,8195
Wheat,Saline,40,33,18,13.174298284939203,26.76954136567004,12.051917094294478,990
Wheat,Sandy,59,30,22,23.32195593755124,26.559911495032186,14.803598628300591,7214
Wheat,Peaty,72,53,14,7.049789776888796,38.83092695848904,2.8367493975616784,3973
Wheat,Loamy,38,37,5,10.544166337220828,17.122640889236663,13.87955914822193,7891
Wheat,Sandy,38,48,49,24.95626583415207,29.85151490736808,8.269042077393898,836
Wheat,Silty,88,44,25,12.188280615263608,12.498339106713148,10.297619257420363,6167
Wheat,Loamy,50,38,32,7.582659810877377,22.89882704519672,14.517813078776308,6432
Wheat,Saline,99,40,53,14.319572483174277,37.49093732149181,8.964916897348068,9374
Wheat,Sandy,21,43,31,5.811903320652978,29.731450638178178,1.6168122985143416,885
Wheat,Saline,21,54,27,18.46809516574876,24.694792757232506,11.989525335950637,8358
Wheat,Clay,91,49,39,11.978665927012312,39.1039680990512,16.421223124558146,1055
Wheat,Peaty,82,27,48,18.11999995299195,12.259640764660382,9.859603150953916,4402
Wheat,Peaty,90,15,55,12.06860068605624,27.19152935021672,6.189559292305989,8632
Wheat,Loamy,70,44,19,11.329895772780484,14.954859026548188,8.788682144416436,1993
Wheat,Silty,88,16,42,12.294579148362564,31.118531526631735,6.577728163667971,8439
Wheat,Peaty,31,21,51,21.651464340393755,15.181939653316547,17.284892055581086,1395
Wheat,Silty,21,66,46,15.370648586504627,19.635884181968496,19.589875527640043,4800
Wheat,Saline,88,69,5,24.86866717338945,28.82140755507497,9.218562439411771,7563
Wheat,Sandy,56,31,41,14.536508361528144,24.30022669702114,12.122158790501304,4259
Wheat,Loamy,35,20,58,22.18106904648084,18.046946339819485,7.424500567489348,732
Wheat,Clay,94,61,58,11.025550866156726,15.396452282004155,0.5549942153016976,6857
Wheat,Loamy,56,31,8,20.643763625807026,27.462504951379493,15.39322644796621,7196
Wheat,Peaty,44,47,41,10.440946440304655,20.302535418621403,8.054226475984247,9214
Wheat,Loamy,28,58,49,16.37026574628088,27.94739118659277,7.69871637651866,5638
Wheat,Peaty,29,24,34,16.513277577802825,19.967489573566297,3.254942634075137,6689
Wheat,Saline,76,44,46,5.765737703937194,11.135778204104122,5.054319748699816,6738
Wheat,Loamy,28,20,35,9.501051748103492,27.23910384600109,12.344915500748092,6268
Wheat,Silty,41,20,52,11.839647228665324,12.747889893716115,13.9458544985657,3305
Wheat,Loamy,29,57,48,20.592710236232712,38.39468126757645,4.627056741091272,9693
Wheat,Silty,39,69,23,5.84475601922281,17.239290185453207,2.8793923488208013,5182
Wheat,Silty,34,66,7,18.427885127049663,37.23897182223199,16.254968918436813,3794
Wheat,Loamy,98,26,22,12.579804723240027,39.32459119300724,6.247619306671734,8340
