Crop_Type,Soil_Type,N,P,K,Moisture,Temperature,Land_Area,Yield
Wheat,Black Soil,37,50,52,19.75447054975796,15.712048699904798,16.912540052168485,3474
Wheat,Laterite Soil,69,44,40,16.859014973777445,27.46129538436153,10.3787618121657,4928
Wheat,Black Soil,94,53,25,12.408886007859108,21.07614039426852,10.96941869968506,9278
Wheat,Alluvial Soil,23,70,43,10.176298764217629,13.67645088644329,16.70591889972701,8463
Wheat,Laterite Soil,49,57,45,15.846173800457931,38.08295447899804,19.79240405328397,9171
Wheat,Laterite Soil,92,22,35,17.905777148648603,19.31028050388346,13.605194521500396,1044
Wheat,Red Soil,41,19,44,9.846047899926791,32.912762823482964,8.700713640481165,1163
Wheat,Alluvial Soil,83,39,59,7.791571084107341,35.360199874179905,9.74056388647787,8073
Wheat,Alluvial Soil,49,58,43,24.75194361046665,18.056965897528112,5.947381695040316,784
Wheat,Laterite Soil,34,40,40,16.128150275066794,25.77164546519036,8.66014828580476,8195
Wheat,Red Soil,40,33,18,13.174298284939203,26.76954136567004,12.051917094294478,990
Wheat,Black Soil,59,30,22,23.32195593755124,26.559911495032186,14.803598628300591,7214
Wheat,Black Soil,72,53,14,7.049789776888796,38.83092695848904,2.8367493975616784,3973
Wheat,Laterite Soil,38,37,5,10.544166337220828,17.122640889236663,13.87955914822193,7891
Wheat,Black Soil,38,48,49,24.95626583415207,29.85151490736808,8.269042077393898,836
Wheat,Red Soil,88,44,25,12.188280615263608,12.498339106713148,10.297619257420363,6167
Wheat,Laterite Soil,50,38,32,7.582659810877377,22.89882704519672,14.517813078776308,6432
Wheat,Red Soil,99,40,53,14.319572483174277,37.49093732149181,8.964916897348068,9374
Wheat,Alluvial Soil,21,43,31,5.811903320652978,29.731450638178178,1.6168122985143416,885
Wheat,Red Soil,21,54,27,18.46809516574876,24.694792757232506,11.989525335950637,8358
Wheat,Laterite Soil,91,49,39,11.978665927012312,39.1039680990512,16.421223124558146,1055
Wheat,Alluvial Soil,82,27,48,18.11999995299195,12.259640764660382,9.859603150953916,4402
Wheat,Laterite Soil,90,15,55,12.06860068605624,27.19152935021672,6.189559292305989,8632
Wheat,Black Soil,70,44,19,11.329895772780484,14.954859026548188,8.788682144416436,1993
Wheat,Laterite Soil,88,16,42,12.294579148362564,31.11853152663173,6.577728163667971,8439
Wheat,Laterite Soil,31,21,51,21.651464340393755,15.181939653316547,17.284892055581086,1395
Wheat,Alluvial Soil,21,66,46,15.370648586504627,19.635884181968496,19.589875527640043,4800
Wheat,Laterite Soil,88,69,5,24.86866717338945,28.82140755507497,9.218562439411771,7563
Wheat,Alluvial Soil,56,31,41,14.536508361528144,24.30022669702114,12.122158790501304,4259
Wheat,Black Soil,35,20,58,22.18106904648084,18.046946339819485,7.424500567489348,732
Wheat,Red Soil,94,61,58,11.025550866156726,15.396452282004155,0.5549942153016976,6857
Wheat,Black Soil,56,31,8,20.643763625807026,27.462504951379493,15.39322644796621,7196
Wheat,Laterite Soil,44,47,41,10.440946440304655,20.302535418621403,8.054226475984247,9214
Wheat,Laterite Soil,28,58,49,16.37026574628088,27.94739118659277,7.69871637651866,5638
Wheat,Alluvial Soil,29,24,34,16.513277577802825,19.967489573566297,3.254942634075137,6689
Wheat,Red Soil,76,44,46,5.765737703937194,11.135778204104122,5.054319748699816,6738
Wheat,Red Soil,28,20,35,9.501051748103492,27.23910384600109,12.344915500748092,6268
Wheat,Black Soil,41,20,52,11.839647228665324,12.747889893716115,13.9458544985657,3305
Wheat,Red Soil,29,57,48,20.592710236232712,38.39468126757645,4.627056741091272,9693
Wheat,Laterite Soil,39,69,23,5.84475601922281,17.239290185453207,2.8793923488208013,5182
Wheat,Alluvial Soil,34,66,7,18.427885127049663,37.23897182223199,16.254968918436813,3794
Wheat,Red Soil,98,26,22,12.579804723240027,39.32459119300724,6.247619306671734,8340
Wheat,Black Soil,73,29,15,9.197597865819818,34.35901492340308,5.021050492430219,6212
Wheat,Alluvial Soil,75,16,9,15.390998943414738,39.811888072723264,1.5688130545973258,2931
Wheat,Red Soil,68,21,38,10.41833198810574,24.39711821261484,8.125940039101657,918
Wheat,Black Soil,39,33,53,8.830086197669818,18.934654511827084,17.84445547079604,2280
Wheat,Alluvial Soil,90,23,25,20.09737981013449,17.53724698947752,10.011394533172671,4337
Wheat,Laterite Soil,30,11,26,19.57026921302025,34.12733700203874,19.960147421298515,587
Wheat,Alluvial Soil,35,14,13,5.890266294942988,38.92767157428349,8.660776086559489,4899
Wheat,Red Soil,97,42,10,19.989977043995324,16.237758264538048,14.654780065794515,6247
Wheat,Alluvial Soil,38,10,13,6.543926812091199,20.812150594808983,2.4065671061598377,5264
Wheat,Alluvial Soil,26,58,5,18.81021799067237,29.84244871971814,18.29235075111024,5945
Wheat,Red Soil,73,57,43,8.993478595363857,22.9599802759493,13.885835941825247,1531
Wheat,Red Soil,67,39,52,13.884185702347075,20.58491179253568,6.343312039169027,4707
Wheat,Red Soil,24,57,47,20.790387833759603,38.15771659377129,17.45049168528731,8417
Wheat,Red Soil,40,66,42,14.630627038951884,12.533486137943932,17.23445427617063,3629
Wheat,Black Soil,37,54,48,8.631181502329259,29.42437282507756,2.352319252568296,9345
Wheat,Alluvial Soil,35,33,5,21.874367692249635,15.861311043226452,12.360754321139892,8332
Wheat,Laterite Soil,99,30,29,12.285639349415634,32.646543586118895,7.982388984455889,9885
Wheat,Laterite Soil,20,11,27,7.361948939716321,29.746437485580937,11.552159583620991,1759
Wheat,Red Soil,95,41,16,11.291607598442912,27.085141531427062,17.831392487783223,8106
Wheat,Laterite Soil,56,37,56,24.363550152517767,36.779392480267546,3.029257060121921,3500
Wheat,Black Soil,23,58,50,22.12580257730609,34.45042692490121,12.862432468850608,4281
Wheat,Alluvial Soil,93,41,41,5.528568625785033,24.53108779843003,2.2088293666744607,6386
Wheat,Laterite Soil,88,45,49,14.981145502744738,28.807253641411005,18.87174901308162,2421
Wheat,Laterite Soil,75,19,45,20.857330007372788,17.993669764795257,10.62624626062594,5809
